Customers Created: ,273
Customer ID,Arrival,Time to Check Out,Departure,Total Wait,Line Number
0,2,1,3,1,0
1,5,3,8,3,0
4,10,4,14,4,0
5,13,2,18,5,0
7,22,3,25,3,0
9,30,2,32,2,0
10,34,1,35,1,0
11,37,3,40,3,0
14,44,4,48,4,0
17,51,3,54,3,0
19,57,3,60,3,0
20,61,1,63,2,0
22,67,2,69,2,0
24,71,3,74,3,0
27,77,1,78,1,0
29,82,1,83,1,0
30,85,4,89,4,0
32,92,3,95,3,0
34,99,1,100,1,0
36,105,4,109,4,0
38,112,2,114,2,0
39,116,2,118,2,0
41,119,2,122,3,0
44,126,1,127,1,0
45,128,1,130,2,0
47,133,3,136,3,0
49,139,3,142,3,0
51,146,3,149,3,0
53,149,3,154,5,0
56,156,1,157,1,0
57,157,1,160,3,0
58,161,2,164,3,0
60,168,4,172,4,0
62,175,2,177,2,0
64,181,2,183,2,0
66,187,1,188,1,0
68,191,1,192,1,0
69,192,3,197,5,0
71,197,2,201,4,0
74,204,1,205,1,0
75,208,2,210,2,0
77,213,1,214,1,0
79,218,2,220,2,0
81,225,3,228,3,0
83,230,1,231,1,0
85,233,4,237,4,0
86,235,1,240,5,0
89,243,1,244,1,0
90,247,1,248,1,0
91,248,3,253,5,0
93,255,3,258,3,0
96,262,2,264,2,0
97,265,1,267,2,0
98,266,3,272,6,0
100,270,3,277,7,0
104,278,2,281,3,0
106,284,4,288,4,0
108,292,2,294,2,0
110,297,2,299,2,0
112,302,2,304,2,0
113,306,1,307,1,0
114,310,2,312,2,0
115,314,3,317,3,0
118,319,1,320,1,0
119,324,4,328,4,0
122,332,1,333,1,0
123,335,2,337,2,0
125,340,3,343,3,0
128,346,3,349,3,0
129,348,2,353,5,0
131,355,4,359,4,0
134,362,2,364,2,0
136,368,2,370,2,0
138,372,3,375,3,0
140,381,4,385,4,0
142,388,1,389,1,0
143,391,4,395,4,0
146,398,4,402,4,0
149,405,2,407,2,0
150,407,3,412,5,0
151,408,1,415,7,0
152,413,4,421,8,0
156,422,3,426,4,0
158,430,2,432,2,0
159,431,4,438,7,0
161,437,1,441,4,0
162,440,2,445,5,0
164,447,2,449,2,0
166,451,3,454,3,0
169,458,4,462,4,0
171,463,1,465,2,0
173,468,2,470,2,0
175,472,2,474,2,0
176,476,3,479,3,0
178,480,1,482,2,0
179,481,3,487,6,0
182,491,4,495,4,0
186,499,2,501,2,0
187,500,2,505,5,0
188,502,1,508,6,0
189,503,3,513,10,0
190,505,2,517,12,0
192,508,3,522,14,0
193,511,4,528,17,0
194,514,1,531,17,0
197,522,2,535,13,0
204,537,3,540,3,0
205,541,4,546,5,0
207,547,1,549,2,0
208,552,2,554,2,0
209,553,1,557,4,0
212,561,1,562,1,0
213,564,4,568,4,0
215,571,2,573,2,0
217,577,3,580,3,0
220,584,3,587,3,0
221,585,1,590,5,0
223,588,4,596,8,0
224,590,2,600,10,0
225,592,4,606,14,0
226,595,3,611,16,0
230,604,1,614,10,0
231,609,1,617,8,0
232,613,4,623,10,0
236,621,1,626,5,0
237,622,2,630,8,0
240,628,2,634,6,0
241,629,2,638,9,0
242,630,1,641,11,0
243,633,4,647,14,0
245,636,4,653,17,0
248,648,4,659,11,0
251,656,2,663,7,0
254,667,3,670,3,0
256,675,2,677,2,0
258,682,3,685,3,0
260,687,2,689,2,0
262,691,2,693,2,0
263,696,2,698,2,0
265,702,3,705,3,0
268,709,1,710,1,0
269,711,2,714,3,0
2,6,2,8,2,1
3,7,4,14,7,1
6,17,3,20,3,1
8,26,4,30,4,1
12,38,1,39,1,1
13,41,4,45,4,1
15,47,4,51,4,1
16,48,3,56,8,1
18,54,2,60,6,1
21,64,3,67,3,1
23,70,1,71,1,1
25,72,4,77,5,1
26,75,2,81,6,1
28,79,2,85,6,1
31,88,2,90,2,1
33,96,4,100,4,1
35,101,3,105,4,1
37,108,1,109,1,1
40,118,4,122,4,1
42,122,1,125,3,1
43,123,3,130,7,1
46,131,2,134,3,1
48,137,2,139,2,1
50,141,1,142,1,1
52,148,3,151,3,1
54,153,3,156,3,1
55,154,4,162,8,1
59,165,4,169,4,1
61,172,3,175,3,1
63,178,2,180,2,1
65,183,2,185,2,1
67,189,2,191,2,1
70,194,2,196,2,1
72,200,4,204,4,1
73,202,3,209,7,1
76,211,2,213,2,1
78,215,4,219,4,1
80,221,4,225,4,1
82,227,3,230,3,1
84,232,4,236,4,1
87,238,4,242,4,1
88,241,4,248,7,1
92,252,3,255,3,1
94,258,2,260,2,1
95,259,4,266,7,1
99,269,1,270,1,1
101,272,1,273,1,1
102,274,2,277,3,1
103,277,3,282,5,1
105,281,2,286,5,1
107,287,2,290,3,1
109,294,3,297,3,1
111,299,2,301,2,1
116,315,2,317,2,1
117,317,2,321,4,1
120,326,4,330,4,1
121,328,3,335,7,1
124,338,3,341,3,1
126,343,3,346,3,1
127,344,1,349,5,1
130,351,1,352,1,1
132,356,1,357,1,1
133,359,3,362,3,1
135,365,2,367,2,1
137,370,2,372,2,1
139,376,2,378,2,1
141,386,3,389,3,1
144,392,4,396,4,1
145,395,4,402,7,1
147,401,2,406,5,1
148,403,4,412,9,1
153,414,1,415,1,1
154,417,3,420,3,1
155,421,4,426,5,1
157,426,4,432,6,1
160,435,4,439,4,1
163,444,1,445,1,1
165,449,3,452,3,1
167,452,2,456,4,1
168,455,1,459,4,1
170,462,1,463,1,1
172,465,3,468,3,1
174,470,2,472,2,1
177,479,4,483,4,1
180,484,1,486,2,1
181,488,4,492,4,1
183,492,3,497,5,1
184,493,4,503,10,1
185,495,3,508,13,1
191,507,4,514,7,1
195,516,1,517,1,1
196,521,1,522,1,1
198,523,1,525,2,1
199,525,1,528,3,1
200,529,4,534,5,1
201,530,4,540,10,1
202,534,2,544,10,1
203,535,1,547,12,1
206,544,4,553,9,1
210,556,1,557,1,1
211,558,2,561,3,1
214,567,4,571,4,1
216,574,4,578,4,1
218,578,3,583,5,1
219,581,4,589,8,1
222,586,4,595,9,1
227,599,4,603,4,1
228,601,4,609,8,1
229,602,4,615,13,1
233,616,2,619,3,1
234,617,2,623,6,1
235,619,3,628,9,1
238,624,1,631,7,1
239,626,1,634,8,1
244,635,3,639,4,1
246,641,3,644,3,1
247,643,2,648,5,1
249,652,2,654,2,1
250,653,4,660,7,1
252,660,1,663,3,1
253,664,1,666,2,1
255,670,2,672,2,1
257,678,4,682,4,1
259,685,2,687,2,1
261,689,4,693,4,1
264,698,1,699,1,1
266,704,3,707,3,1
267,705,3,712,7,1
270,713,2,716,3,1
